Year	Month	Day	mean	stddev
2012	7	28	755.7395354627675	205.2646506737733
2012	7	29	712.6941460378396	190.3951988596414
2012	7	30	713.7483105435606	195.15407908341913
2012	7	31	724.5199435715209	193.3317666920186
2012	8	1	729.7079579325413	197.92588581108038
2012	8	2	778.9826767268911	216.70775988343357
2012	8	3	821.3674366155831	233.9445452472059
2012	8	4	855.4804418673186	252.2399423666095
2012	8	5	834.4607103404254	229.6781614615441
2012	8	6	798.9564095141243	212.2203218220873
2012	8	7	746.8292948826738	197.24466470627996
2012	8	8	776.9556050206463	210.50025090526907
2012	8	9	815.7999334092416	224.21612515131284
2012	8	10	806.2402868905896	220.3168642466692
2012	8	11	782.037528600352	212.45673609258813
2012	8	12	818.162809832764	222.95403755892667
2012	8	13	778.7963739420275	206.78543665495917
2012	8	14	755.2636116339518	203.3514022381533
2012	8	15	763.3372997781646	207.13871988053427
2012	8	16	770.9728988813567	209.31350908517177
2012	8	17	772.7135658531099	227.03150732523247
2012	8	18	729.3896650984564	191.6367923176011
2012	8	19	687.9045710260343	204.1006805946101
2012	8	20	690.3511279991469	206.43319718229736
2012	8	21	694.4953922894385	188.95868980652358
2012	8	22	692.711204588638	189.6108775285767
2012	8	23	711.7922141888946	191.4747055279293
2012	8	24	735.6180600680061	197.18453447720177
2012	8	25	745.7611585674481	208.235131411756
2012	8	26	722.6538062064698	195.5984160178044
2012	8	27	730.9137204611025	200.04611038141732
2012	8	28	759.076915890751	205.14394693950607
2012	8	29	667.9909705708186	171.5989736773789
2012	8	30	650.423977838451	167.98600889752962
2012	8	31	692.7939633719533	184.53609387340623
2012	9	1	734.5503378352439	201.13200657531115
2012	9	2	686.3641180396336	184.19915189736042
2012	9	3	671.0893175284066	179.76508805640086
2012	9	4	683.9143319333621	187.28996933239048
2012	9	5	780.6503864087795	218.88694604943112
2012	9	6	738.1333350037125	202.20075943358626
2012	9	7	757.9908454940103	202.70318174278933
2012	9	8	757.1099247508012	207.73126439294495
2012	9	9	669.0678029874222	174.4382034858315
2012	9	10	606.641766249937	157.2643341579199
2012	9	11	563.9883903042817	148.38565043281457
2012	9	12	590.9848314463705	160.54320231063875
2012	9	13	632.5774072884822	174.4289416857279
2012	9	14	659.6069357577404	184.2207850925299
2012	9	15	631.0015276203046	172.79845787232654
2012	9	16	562.2100556217754	150.12376298035502
2012	9	17	202.67428852188903	54.26465784365815
2012	9	29	39.44245306240312	11.993101101580846
2012	9	30	490.42911256084244	148.9790462194608
2012	10	1	499.8016374885281	145.28141927241452
2012	10	2	493.93540408731485	150.28049611546984
2012	10	3	524.0072800447782	160.1767148137068
2012	10	4	563.3650870439485	173.44830423110824
2012	10	5	583.5030613627458	179.33119051715448
2012	10	6	589.8016277463751	177.8751190320429
2012	10	7	587.5579946228263	179.08578456316562
2012	10	8	482.5572078233987	142.45207947307236
2012	10	9	450.87547938545765	140.6669373149882
2012	10	10	449.8880511489924	140.31490696457723
2012	10	11	472.8110323531215	146.4574997861226
2012	10	12	439.0144030408654	138.5828728775012
2012	10	13	403.03700809820043	130.35292573152353
2012	10	14	370.2458810969232	121.19448177982238
2012	10	15	413.547246628527	131.31273328780185
2012	10	16	509.73547121132606	160.82408027803288
2012	10	17	456.03166952549446	137.013529913286
2012	10	18	411.66568341740384	131.54074981894058
2012	10	19	442.36840349077255	141.23925220575902
2012	10	20	494.4054968123237	155.37810864230704
2012	10	21	551.1186987681128	172.12538568740135
2012	10	22	478.72717839556225	150.24268389568647
2012	10	23	472.25062134688824	148.927497740995
2012	10	24	466.18124987655955	146.59548387050936
2012	10	25	459.83821048701054	145.70463805634952
2012	10	26	449.99935202915833	143.92872573887416
2012	10	27	477.5728321284847	152.2948709979238
2012	10	28	487.4700229248416	155.2428741163208
2012	10	29	470.4211886153291	150.3431113177418
2012	10	30	480.6307212213745	152.00850958190964
2012	10	31	523.3061049938063	164.38575029902069
2012	11	1	482.3014274609235	152.44974007961568
2012	11	2	439.62365136355703	141.27165539985614
2012	11	3	420.1655170672625	135.73927141006035
2012	11	4	391.1431741632541	128.30871414572738
2012	11	5	363.8857473238287	116.56631716043883
2012	11	6	346.2535514679057	120.19658713005722
2012	11	7	304.53877319672785	106.43006046301291
2012	11	8	281.45759669437473	102.66300806669892
2012	11	9	285.9172997422351	102.0296254397791
2012	11	10	290.7327134681615	101.37082668179491
2012	11	11	311.54062414311153	105.11488877269042
2012	11	12	352.38226952814523	115.6675525697831
2012	11	13	385.494723033611	125.0133820055285
2012	11	14	396.95236240905683	127.82665801906083
2012	11	15	317.8769083368933	110.02512029234128
2012	11	16	290.05277820667123	102.77164216703127
2012	11	17	288.11347289795947	101.39714351275843
2012	11	18	282.4226398725735	100.32447577378515
2012	11	19	270.58040529665044	99.09931193225643
2012	11	20	262.66648199172283	97.09285942876906
2012	11	21	268.765103689521	97.35180772748511
2012	11	22	283.8540948103416	97.07688703498147
2012	11	23	284.72520702563577	99.46409398301343
2012	11	24	297.57073258678645	101.64228605136597
2012	11	25	297.3102968031482	101.93765386670565
2012	11	26	252.5768919960705	93.7279448144555
2012	11	27	255.961681214428	92.66369233106161
2012	11	28	250.78295906704312	91.75474494349454
2012	11	29	250.92943167517797	79.96966506472715
2012	11	30	243.91365265737483	90.10544616378691
2012	12	1	244.5358595795285	89.78562082258391
2012	12	2	239.15173725644019	88.32161620854198
2012	12	3	253.15825468128256	89.17558520673124
2012	12	4	300.21605447125296	100.6326974271835
2012	12	5	294.06383284900596	99.3684115062848
2012	12	6	330.1989635915115	108.36289422577185
2012	12	7	251.6243262820774	92.18053994823866
2012	12	8	235.22331429577224	86.60438567237524
2012	12	9	275.9228334211737	93.74852045507393
2012	12	10	278.4961373320158	95.25026024194571
2012	12	11	297.4927994794021	99.51544786897998
2012	12	12	302.64680639783086	101.13281873212445
2012	12	13	243.05282283881502	89.15774364775278
2012	12	14	227.12257267403498	85.0261546689518
2012	12	15	220.10299172943883	82.83076788902876
2012	12	16	220.9452399258235	82.25615452800157
2012	12	17	217.09610850358143	80.87009224091315
2012	12	18	218.76948600169362	79.87219887108303
2012	12	19	233.71929307075516	80.94911077298927
2012	12	20	248.94099125621338	86.05108610631305
2012	12	21	237.8683342363297	83.773735287176
2012	12	22	246.55669931006886	85.49658959484107
2012	12	23	236.79222658898675	83.34223691357705
2012	12	24	214.38868492366765	80.09115348889186
2012	12	25	209.89842196490832	78.61358742148556
2012	12	26	207.1664264987619	77.58331610394282
2012	12	27	202.1607012055253	76.25085169603602
2012	12	28	205.48095768308275	77.286891702404
2012	12	29	207.44841363882952	76.37357503443641
2012	12	30	209.05052285260587	76.27745150478837
2012	12	31	211.32012794049282	76.72266487703997
2013	1	1	212.7764684148066	77.0549024216927
2013	1	2	214.80131580337306	77.13247303336117
2013	1	3	213.95589542915923	77.26800480013617
2013	1	4	209.8963254317871	77.08762651693073
2013	1	5	206.7415987166227	76.4543646249848
2013	1	6	208.62743732980266	76.09910918477821
2013	1	7	210.5202831955158	76.43759568427939
2013	1	8	212.96277070174182	77.16797863352222
2013	1	9	212.9527797507736	77.27327160173915
2013	1	10	213.98769042799054	77.72984382805014
2013	1	11	215.14961446166035	78.3685413750069
2013	1	12	215.94256773602402	78.67873947088029
2013	1	13	214.18934976746897	77.91033258315137
2013	1	14	210.52674178291835	75.74074775798212
2013	1	15	207.0810851867981	74.17183964119305
2013	1	16	208.31127350427806	75.86299817991708
2013	1	17	207.35467970113513	76.18079834436865
2013	1	18	211.84789100406533	76.68710161205998
2013	1	19	208.79296082803484	76.40846830916679
2013	1	20	202.611667532575	75.39288261317459
2013	1	21	204.58955218301142	75.12358322992563
2013	1	22	201.34661901491043	74.54547159110109
2013	1	23	197.46933152387504	75.28474807269966
2013	1	24	193.38855917333	78.77143272070097
2013	1	25	191.11219667842448	76.42637773345677
2013	1	26	184.29426693823714	72.93571071039432
2013	1	27	179.45259404507834	71.20048647929431
2013	1	28	177.96371018997425	69.01881002257501
2013	1	29	177.9122194896895	68.46148104688216
2013	1	30	177.0096244654339	68.45165872207852
2013	1	31	174.84724165412862	66.07607392320085
2013	2	1	175.3827647037859	67.30298975363836
2013	2	2	179.60771981333733	69.49502371058232
2013	2	3	182.73756414937674	75.64630386877475
2013	2	4	180.2274410693836	73.03640029498291
2013	2	5	179.1010341306606	69.78304729639798
2013	2	6	177.70433308864833	67.01460193259744
2013	2	7	174.55771210550978	67.94591395062888
2013	2	8	173.73267209752794	65.92916022172149
2013	2	9	170.44612969146672	66.76340504991731
2013	2	10	173.84886920995746	66.70817948840006
2013	2	11	175.18035264810754	66.80694243809765
2013	2	12	175.50729753110136	66.57774506864091
2013	2	13	177.30086502737197	68.36420211237687
2013	2	14	178.94748965981958	69.07493439473643
2013	2	15	179.61070431221975	69.02452206510722
2013	2	16	180.5773344164768	69.35960072447767
2013	2	17	181.31690125081698	69.32297724295148
2013	2	18	181.71942399779138	69.4435173214153
2013	2	19	181.27501371089534	71.22827292053834
2013	2	20	182.55894447532893	71.81145708437148
2013	2	21	183.32311715580312	68.87848851245019
2013	2	22	184.59066789752416	70.73605930527478
2013	2	23	184.95050683938138	72.41367778401194
2013	2	24	186.8157975795882	72.63650242009315
2013	2	25	187.7967236190182	71.82364995088814
2013	2	26	188.15502616034823	71.64649730716079
2013	2	27	188.10394043972974	71.46711193633075
2013	2	28	187.55508378849362	70.70066007491938
2013	3	1	187.1708523331181	70.27213868752048
2013	3	2	188.15219259645644	70.67413516705105
2013	3	3	189.56044450574024	71.34906307419679
2013	3	4	190.66511953532435	71.59979321537823
2013	3	5	191.8071247617519	72.20496341804251
2013	3	6	192.46802558603954	72.37663564347895
2013	3	7	193.13607382258334	72.50398786636693
2013	3	8	202.50600584084052	75.95413028688593
2013	3	9	194.73009733220997	72.8705624173009
2013	3	10	195.109691193326	72.67289809250215
2013	3	11	195.49640728024036	72.63887306703118
2013	3	12	196.11071025532905	72.65724983132733
2013	3	13	194.16474119583836	71.28721460130942
2013	3	14	194.06062502740554	71.0490553825656
2013	3	15	195.73851140906518	70.80407214917888
2013	3	16	194.2672105674893	70.696900407778
2013	3	17	194.27887157126455	70.922919078234
2013	3	18	193.49191245476382	70.8336957808746
2013	3	19	191.1610995170118	71.80888271878378
2013	3	20	191.79869722804784	71.36590485124741
2013	3	21	192.18281893950777	70.6019281176005
2013	3	22	193.0987534515412	70.74518422818502
2013	3	23	194.1475112631048	71.05394547210336
2013	3	24	194.86599520204487	71.01223611509157
2013	3	25	196.13800660400028	71.25360268329986
2013	3	26	197.33194585869495	71.40223394635755
2013	3	27	197.35538619340468	71.16452886958265
2013	3	28	197.3309986952501	70.90523024723556
2013	3	29	197.3339582144352	70.7174647768633
2013	3	30	196.69112754924078	70.56443633139594
2013	3	31	195.8767833901292	69.7404013407821
2013	4	1	195.37377054475854	69.66212132183416
2013	4	2	199.35656156887654	69.46395057899264
2013	4	3	194.2860659638589	69.72086270787342
2013	4	4	195.23940719184776	69.81429041788856
2013	4	5	203.629231546517	72.19331829481864
2013	4	6	234.45336492406895	78.79874406629773
2013	4	7	227.21561788017667	77.01285147250711
2013	4	8	201.08182150191007	66.01867747018773
2013	4	9	210.54220998739257	62.88489628807427
2013	4	10	341.04983544987255	103.65175599991964
2013	4	11	344.78395434576686	107.28911918943588
2013	4	12	270.2757701228795	91.09576030318944
2013	4	13	258.45821185976496	85.45716666255322
2013	4	14	281.805429717806	90.4353467897863
2013	4	15	282.2415221896152	90.57666541416474
2013	4	16	320.95572055242803	101.41998839383847
2013	4	17	352.676913752299	106.1509965306579
2013	4	18	342.4546998496614	106.11369640040104
2013	4	19	393.639135877888	122.63424705866277
2013	4	20	394.56432471928656	118.23712779705376
2013	4	21	329.1814192367693	103.3041422617545
2013	4	22	322.0916216685028	101.4812439603991
2013	4	23	300.93324024345594	98.02798877754734
2013	4	24	346.33303631242876	105.18997005309755
2013	4	25	378.7524845116287	113.5714250167366
2013	4	26	358.1931911340395	108.14447657484227
2013	4	27	369.63760179556755	110.10217719529099
2013	4	28	395.22413735278286	115.83370770701929
2013	4	29	412.27333337425205	125.34523594344313
2013	4	30	428.1952042274526	125.0117773146327
2013	5	1	426.8146058531803	124.20300367179296
2013	5	2	444.67974082284155	128.142139825929
2013	5	3	432.401555059391	125.52578312483763
2013	5	4	435.09209273214157	125.75481712135894
2013	5	5	419.42698484609525	121.97638536370782
2013	5	6	427.4521546634928	123.71252818617664
2013	5	7	465.4247740939344	132.1131112928045
2013	5	8	483.09136678884715	139.16200847845073
2013	5	9	511.03075883199415	145.56457214938936
2013	5	10	514.5180391216247	143.49512667505073
2013	5	11	512.5800925361091	147.1471471336803
2013	5	12	499.2238159291195	142.07185652969866
2013	5	13	423.4753883759448	123.9672916703438
2013	5	14	405.6337105400141	119.35487197492445
2013	5	15	407.40307659413895	120.04020821810371
2013	5	16	454.5898954074425	130.63945893633354
2013	5	17	460.5459453113035	131.42118144529059
2013	5	18	461.4767326453224	132.00682422905186
2013	5	19	465.91960869186244	133.7030803223677
2013	5	20	506.1101372599542	144.97035603688553
2013	5	21	554.8299528289265	157.53352887953963
2013	5	22	524.6914683271859	152.04359404943546
2013	5	23	577.9188453583693	166.23690483007726
2013	5	24	571.9747763464137	161.78452000099273
2013	5	25	431.24544043862824	123.46288373631388
2013	5	26	393.3842146983678	113.85144731692036
2013	5	27	427.17945337946475	121.97684235711799
2013	5	28	471.2754968130472	136.47820800856533
2013	5	29	515.404568002746	150.17465966953037
2013	5	30	603.9758471455984	179.76504474373897
2013	5	31	648.6063004087148	194.14441995263255
2013	6	1	670.6371935992508	196.98626222990057
2013	6	2	677.5213923320264	192.894279783992
2013	6	3	658.0590681223373	180.91882269921805
2013	6	4	572.4149272048209	151.04437629985043
2013	6	5	563.0475705584643	151.31505720139836
2013	6	6	562.4299754862228	153.49457438872187
2013	6	7	514.9733783223734	141.07808988840017
2013	6	8	508.0468155831101	144.83890058936072
2013	6	9	559.6735633027699	158.45207747217628
2013	6	10	568.3198818299096	159.20861865005475
2013	6	11	540.2162253011136	150.9380404998864
2013	6	12	534.0458663411946	156.84144688770536
2013	6	13	506.2772706653125	151.36829513445713
2013	6	14	504.7362359799366	139.78463448302395
2013	6	15	551.0102268413709	150.71475032952003
2013	6	16	561.1391091097069	153.89542520378765
2013	6	17	594.3069097488051	164.09018826952945
2013	6	18	587.4046331363527	160.6706232668815
2013	6	19	571.3436378826871	154.841901653318
2013	6	20	576.8062101524392	155.78541993356978
2013	6	21	609.6696925757394	164.52768196440613
2013	6	22	640.8025010317571	172.34582042411498
