Year	Month	Day	mean	stddev
2012	1	1	182.42093900915424	66.33239043755948
2012	1	2	201.11418550835458	68.59454403455496
2012	1	3	169.20884001705332	62.389785299206906
2012	1	4	144.80149417028036	59.41167803619271
2012	1	5	146.53280180898844	59.77004265080123
2012	1	6	150.44800106643484	62.41794932312284
2012	1	7	163.74648691463182	64.64642944793582
2012	1	8	156.41021793049384	64.78943949072432
2012	1	9	152.8729086579433	61.585102384887705
2012	1	10	157.82782521989824	63.12841305737833
2012	1	11	159.1586105619752	64.28459672758403
2012	1	12	158.16636902756736	65.02579303298911
2012	1	13	159.84803736943164	65.38664536969853
2012	1	14	159.79913625953148	63.952276115635385
2012	1	15	149.85759367562466	59.35620299488356
2012	1	16	141.3898085606932	58.47455359224267
2012	1	17	148.42825531353475	63.58719379861947
2012	1	18	150.43863448909994	64.5980581340311
2012	1	19	145.2741527801636	61.559366290071736
2012	1	20	148.2887264463283	63.42246273973332
2012	1	21	147.01890939867098	62.87001457235797
2012	1	22	146.5134771579277	62.63284880544203
2012	1	23	148.20080323851604	64.2068009202484
2012	1	24	166.87825559192407	67.62852975464874
2012	1	25	155.68373135385616	67.4337142201668
2012	1	26	157.70999311603305	67.50173052458076
2012	1	27	154.4141060141881	66.33285308133317
2012	1	28	160.52175551639937	67.72192363632263
2012	1	29	156.2961062683447	65.84456765287793
2012	1	30	153.62512914839712	63.973580079678
2012	1	31	157.5686887509015	64.88727405342186
2012	2	1	167.64249753377393	67.91021376763614
2012	2	2	158.01882249863345	67.12256613891344
2012	2	3	155.02489531656633	65.34475550089216
2012	2	4	158.3184456999193	66.24025164201244
2012	2	5	148.76221742267097	63.08555711065277
2012	2	6	153.94170575559266	65.1871964463448
2012	2	7	155.25730842575337	66.35788518835615
2012	2	8	148.26191662574104	63.93826420775909
2012	2	9	150.60012808914604	64.65941179589039
2012	2	10	155.3534981029275	65.75779886737409
2012	2	11	152.72334243212694	65.71617480413825
2012	2	12	139.58507265107784	61.8110607735473
2012	2	13	139.04739691867354	62.559102630737826
2012	2	14	147.90495263062445	64.59149685845627
2012	2	15	153.9842878043561	66.98747401314584
2012	2	16	156.6692936771735	67.0078972267875
2012	2	17	155.98377458298825	67.41902810278648
2012	2	18	157.66815300475878	68.23635951113228
2012	2	19	156.71862287047898	66.98220363526902
2012	2	20	151.7541395755046	65.69619469592983
2012	2	21	155.96555961243038	66.67643429931394
2012	2	22	168.14740863742267	69.72848625139434
2012	2	23	166.1492780644008	69.93961502440942
2012	2	24	156.6231349276799	67.89772904610132
2012	2	25	156.95797520738859	67.28256895248468
2012	2	26	154.63601232458785	66.51259780212227
2012	2	27	163.81677488950714	67.15320901107141
2012	2	28	146.38152126206262	65.36024640021579
2012	2	29	119.5394129285291	61.973954445159734
2012	3	1	113.00825265824552	60.17494926159241
2012	3	2	107.76620765035943	59.07832906814957
2012	3	3	103.37768809746727	58.2126781311605
2012	3	4	101.02381010593957	57.81835859832075
2012	3	5	98.52169713470077	57.111570106341894
2012	3	6	91.67941954922259	55.46543293146509
2012	3	7	48.142828774075	29.81864083367044
2012	4	25	152.84002566124764	41.82557841043611
2012	4	26	331.3936532051305	91.97371664596726
2012	4	27	319.5219616816145	89.57768761974903
2012	4	28	309.4482302992261	87.98610354544579
2012	4	29	313.0043210272777	88.35151067990076
2012	4	30	329.4650585035764	91.4305669309712
2012	5	1	305.5639268170058	86.95006179902023
