Year	Month	Day	mean	stddev
2012	1	1	311.1323857851913	36.40475683712495
2012	1	2	336.9337175339517	44.57625146572816
2012	1	3	292.0167907376998	37.57913944803026
2012	1	4	256.94352542939305	33.459226306192214
2012	1	5	259.5957193536712	34.607057437858124
2012	1	6	265.03231518693514	33.01618962001966
2012	1	7	284.39359264443203	35.26368936676102
2012	1	8	273.7155501897712	30.945884218870024
2012	1	9	268.98271587547504	30.214314020895223
2012	1	10	276.2248359479595	30.74003739955588
2012	1	11	277.8024351052069	29.910376048949793
2012	1	12	276.35457318824785	30.042498279924878
2012	1	13	278.83373289052423	28.862381497394455
2012	1	14	278.7647986521757	28.406167826583893
2012	1	15	264.6095033347664	33.00451786863678
2012	1	16	252.0500648216999	35.217051406334065
2012	1	17	261.73505413595194	31.67383511766249
2012	1	18	264.6504652320661	31.53552998297734
2012	1	19	257.37315116081965	30.036553054611517
2012	1	20	261.5386489385573	30.482815434801363
2012	1	21	259.7795360671726	30.31799053901246
2012	1	22	259.04257306107723	30.41464547885072
2012	1	23	261.4159215121419	30.11407064995846
2012	1	24	288.6527193069742	37.761701069272156
2012	1	25	272.1769863352654	32.64450695640961
2012	1	26	275.16356624175194	31.13268504142499
2012	1	27	270.54013601689104	31.487339739045993
2012	1	28	279.2854977504036	33.02414147423633
2012	1	29	273.1772049227183	31.304356180942275
2012	1	30	269.45220457004547	30.709316255267115
2012	1	31	275.19104115877724	32.42750133011483
2012	2	1	289.57116392380317	35.17023226896602
2012	2	2	275.5731587853395	31.427641635062816
2012	2	3	271.2967302883243	31.41795158068082
2012	2	4	275.86419735368986	31.63804339620526
2012	2	5	262.1574514528441	32.20194774321643
2012	2	6	269.30876710451264	33.213551027371146
2012	2	7	271.12258494268735	33.15829288049256
2012	2	8	261.2526050630307	31.21018113053148
2012	2	9	264.4651488581495	31.175436979741637
2012	2	10	271.2957428569161	32.32900299046012
2012	2	11	267.76120294598405	32.14157670975276
2012	2	12	248.47871646165655	30.37990567703229
2012	2	13	247.56164335757626	28.82973941979928
2012	2	14	260.5162850311542	30.421335479081094
2012	2	15	269.28962229534807	33.12772753944923
2012	2	16	273.29811588857524	33.06331766558345
2012	2	17	272.2999850888901	32.460344467592776
2012	2	18	274.6191306115471	31.823495603225453
2012	2	19	273.33420598567994	30.667993677053573
2012	2	20	266.0822290533969	28.218836444426902
2012	2	21	272.1418739908175	30.34879826945897
2012	2	22	289.81144344495635	35.953952182253616
2012	2	23	286.7562663861363	30.69833234671498
2012	2	24	273.02010420760956	24.649511833415563
2012	2	25	273.60476818895506	27.54627848608611
2012	2	26	270.29671714888474	27.378763583600666
2012	2	27	283.8939193076227	33.10291454287783
2012	2	28	258.38150444702717	24.368894477863464
2012	2	29	218.75574067949617	15.560973952268757
2012	3	1	209.141389909628	15.05706431057668
2012	3	2	201.2218681270341	14.375582597485899
2012	3	3	194.48188633416612	13.054839095766386
2012	3	4	190.8285712455586	12.848176861527321
2012	3	5	186.9483099343152	13.055140495444283
2012	3	6	176.14514722909428	11.766153799493324
2012	3	7	92.89690680674137	6.570631604862234
2012	4	25	235.02013880449556	39.17583779664296
2012	4	26	510.96073706271756	84.53526581720335
2012	4	27	494.48024999550887	81.58802648658774
2012	4	28	481.7656537849474	71.97653556784948
2012	4	29	486.56602425104654	75.9373734910376
2012	4	30	508.7230751278473	83.87157424364126
2012	5	1	476.18521650127656	75.9315125329107
2012	5	2	482.43286515660475	78.55471743768399
2012	5	3	489.9619019107514	80.1255698397934
2012	5	4	515.3944026286365	89.01252969975606
2012	5	5	571.7805549172392	103.04006282503838
2012	5	6	588.6372510672928	103.86964999228572
2012	5	7	619.2222194842449	110.72047669808863
2012	5	8	567.8629443645481	96.03297536017081
2012	5	9	593.8613186137111	104.19934708898741
2012	5	10	582.3738125053292	99.26298478090972
2012	5	11	564.8035838912259	92.66377597033973
2012	5	12	621.3265515034507	107.07274338950668
2012	5	13	694.2795195878981	131.52765534245543
2012	5	14	673.2245464317334	120.76810993467227
2012	5	15	665.442549580293	119.25409555194025
2012	5	16	693.3830502741285	125.67131865642058
2012	5	17	660.7077652185525	114.49089363994555
2012	5	18	664.1074724914217	114.62553399644848
2012	5	19	698.7964744566516	127.06479363907836
2012	5	20	743.7180224138474	141.14605666321054
2012	5	21	705.0170791227226	123.7968219700914
2012	5	22	700.6542665095868	124.78899158727789
2012	5	23	724.4198006105437	129.9236891482976
2012	5	24	737.4898509958552	135.41122832928875
2012	5	25	732.5106573949329	133.71726139567127
2012	5	26	540.8083536198503	103.30751282036806
2012	5	27	166.90759984892068	30.857337758771603
2012	5	28	236.34748524944132	44.540510142192744
2012	5	29	67.00266997254396	12.43218041157759
2012	6	2	55.674601301514585	8.883689600987108
2012	6	3	677.8108740710925	110.45117789424947
2012	6	4	622.9656204965227	94.44114746211723
2012	6	5	605.6520238139091	92.8728722180855
2012	6	6	622.3186605034817	99.342419722823
2012	6	7	647.6359787696662	106.15634700098366
2012	6	8	682.5716107392409	115.46330075990775
2012	6	9	700.6432357627604	118.6110091873141
2012	6	10	735.1618234285405	129.20489471218562
2012	6	11	722.1061334237189	121.83980276889781
2012	6	12	725.8286495963557	122.75377574581513
2012	6	13	737.394291957862	125.2203033544933
2012	6	14	731.0427785358497	122.21910574226621
2012	6	15	726.6181276553289	122.14646760602719
2012	6	16	733.6528389171779	122.40198686452743
2012	6	17	702.3711051224248	111.35577860767494
2012	6	18	698.6080546708872	111.62920536394701
2012	6	19	705.0210296778741	113.14660931317262
2012	6	20	812.7539140941151	145.19381850416542
